"","ENSEMBL","Gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GENENAME","Biotype"
"1","ENSMUSG00000000560","Gabra2",8.05200196078757,5.84158444612423,1.68449880718402,3.46784718470037,0.000524645543025734,0.0105794341134874,"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2","protein_coding"
"2","ENSMUSG00000000942","Hoxa4",8.48552634729029,4.5019222823945,1.45095611301587,3.10272808530169,0.00191745728500241,0.0261030369263992,"homeobox A4","protein_coding"
"3","ENSMUSG00000001496","Nkx2-1",3.89340725417071,6.22903101680607,2.21951102096287,2.80648798675655,0.0050084779976286,0.0490991465510967,"NK2 homeobox 1","protein_coding"
"4","ENSMUSG00000001672","Marveld3",10.5942054196148,4.24576059272631,1.18699980460488,3.5768839862106,0.00034771439925469,0.00774297793042316,"MARVEL (membrane-associating) domain containing 3","protein_coding"
"5","ENSMUSG00000001700","Gramd3",22.2714668081724,2.5087976243038,0.791184535552012,3.1709386515668,0.00151947229323148,0.0222973943237613,"GRAM domain containing 3","protein_coding"
"6","ENSMUSG00000001946","Esam",13.9520946008412,3.23379157522678,0.964386247894054,3.35321203748857,0.000798794860785173,0.0140441710817785,"endothelial cell-specific adhesion molecule","protein_coding"
"7","ENSMUSG00000001985","Grik3",5.74502068670595,6.81628556522205,1.88326887135477,3.61939055484872,0.00029529767136974,0.00691545137521083,"glutamate receptor, ionotropic, kainate 3","protein_coding"
"8","ENSMUSG00000002228","Ppm1j",4.35631061230452,6.39865378068587,2.09301099204855,3.05715249704596,0.00223450564260859,0.0290377786406624,"protein phosphatase 1J","protein_coding"
"9","ENSMUSG00000002346","Slc25a42",72.655943923745,4.00616763013527,0.743404258578063,5.38894899229932,7.08709150350124e-08,8.58751177676502e-06,"solute carrier family 25, member 42","protein_coding"
"10","ENSMUSG00000003354","Ccdc65",13.8559618305873,5.04746754370113,1.34023131111671,3.76611671569997,0.000165806304395262,0.00453846754703396,"coiled-coil domain containing 65","protein_coding"
"11","ENSMUSG00000003410","Elavl3",12.4774493319649,4.47084427315145,1.26322751795061,3.53922330666505,0.000401306223713849,0.00869173705145132,"ELAV like RNA binding protein 3","protein_coding"
"12","ENSMUSG00000003420","Fcgrt",6.0371714906625,5.76894316934378,1.84200468413626,3.13188300715366,0.0017368907265081,0.0243345627828479,"Fc receptor, IgG, alpha chain transporter","protein_coding"
"13","ENSMUSG00000003545","Fosb",114.020624508662,3.55144223038581,0.672802224861667,5.27858276793899,1.30186859341991e-07,1.45917771512481e-05,"FBJ osteosarcoma oncogene B","protein_coding"
"14","ENSMUSG00000004113","Cacna1b",7.97803159633202,7.32271502966444,1.75669531637525,4.16846049591233,3.06663896362321e-05,0.00125656577915137,"calcium channel, voltage-dependent, N type, alpha 1B subunit","protein_coding"
"15","ENSMUSG00000004347","Pde1c",5.0982988103329,5.56846237039479,1.96738697926629,2.8303848856779,0.00464920380709398,0.0465959696016497,"phosphodiesterase 1C","protein_coding"
"16","ENSMUSG00000004939","Nmrk2",19.2642520741391,3.29024104509178,0.898391895549151,3.66236723794196,0.000249895269757238,0.00620904002402593,"nicotinamide riboside kinase 2","protein_coding"
"17","ENSMUSG00000005089","Slc1a2",15.4028102096788,4.2653823703818,1.03402401219983,4.12503222367867,3.70682854182959e-05,0.00146207753336094,"solute carrier family 1 (glial high affinity glutamate transporter), member 2","protein_coding"
