"tracking_id","Gene_name","Biotype","GENENAME","log2FoldChange.x","log2FoldChange.y"
"ENSMUSG00000000706","Btn1a1","protein_coding","butyrophilin, subfamily 1, member A1",3.84876964378602,5.44191912366947
"ENSMUSG00000001168","Oas1h","protein_coding","2'-5' oligoadenylate synthetase 1H",9.36844608057175,8.40694898160165
"ENSMUSG00000005803","Sqrdl","protein_coding","sulfide quinone oxidoreductase",5.92634299227272,3.77743848948206
"ENSMUSG00000005958","Ephb3","protein_coding","Eph receptor B3",5.22992055188595,8.02869648421131
"ENSMUSG00000006529","Itih1","protein_coding","inter-alpha trypsin inhibitor, heavy chain 1",4.1463666892148,4.65118327168833
"ENSMUSG00000011267","Zfp296","protein_coding","zinc finger protein 296",3.75403411469179,4.43400247792776
"ENSMUSG00000011658","Fuz","protein_coding","fuzzy planar cell polarity protein",3.27561956254245,5.37432008837681
"ENSMUSG00000013629","Cad","protein_coding","carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase",3.62279612416856,3.91190368302689
"ENSMUSG00000014329","Bicc1","protein_coding","BicC family RNA binding protein 1",3.06529063955821,5.49195025388815
"ENSMUSG00000015944","Gatsl2","protein_coding","GATS protein-like 2",3.37285139801775,4.43103658941474
"ENSMUSG00000020044","Timp3","protein_coding","tissue inhibitor of metalloproteinase 3",5.85685034849434,5.56332738929896
"ENSMUSG00000020057","Dram1","protein_coding","DNA-damage regulated autophagy modulator 1",5.28748348304134,6.87480484362102
"ENSMUSG00000020080","Hkdc1","protein_coding","hexokinase domain containing 1",6.57299254094382,5.16636783074269
"ENSMUSG00000020176","Grb10","protein_coding","growth factor receptor bound protein 10",4.46992022244254,6.45210572870424
"ENSMUSG00000020205","Phlda1","protein_coding","pleckstrin homology like domain, family A, member 1",4.01478209071607,5.31357028804976
"ENSMUSG00000020599","Rgs9","protein_coding","regulator of G-protein signaling 9",2.85350501368506,3.68071637572644
"ENSMUSG00000020679","Hnf1b","protein_coding","HNF1 homeobox B",5.36165086954135,6.12609983892396
"ENSMUSG00000020686","Gas2l2","protein_coding","growth arrest-specific 2 like 2",6.0730365842578,6.7089493008937
"ENSMUSG00000020704","Asic2","protein_coding","acid-sensing (proton-gated) ion channel 2",5.68857134999284,5.59756224682782
"ENSMUSG00000021294","Kif26a","protein_coding","kinesin family member 26A",7.27211898936867,5.55464896551324
"ENSMUSG00000022311","Csmd3","protein_coding","CUB and Sushi multiple domains 3",6.93662901456156,5.4596339683256
"ENSMUSG00000022313","Utp23","protein_coding","UTP23 small subunit processome component",2.95980897203323,3.99038519309474
"ENSMUSG00000022324","Matn2","protein_coding","matrilin 2",3.74245660683337,5.87570352220542
"ENSMUSG00000022443","Myh9","protein_coding","myosin, heavy polypeptide 9, non-muscle",2.13737728538893,3.15721449849149
"ENSMUSG00000022641","Bbx","protein_coding","bobby sox HMG box containing",3.79251158457509,2.51639571970411
"ENSMUSG00000022972","1110004E09Rik","protein_coding","RIKEN cDNA 1110004E09 gene",3.03823201980751,6.92556328458177
"ENSMUSG00000023170","Gps2","protein_coding","G protein pathway suppressor 2",2.22562613061329,6.62056615211536
"ENSMUSG00000023978","Prph2","protein_coding","peripherin 2",3.85579211982573,7.12318643684592
"ENSMUSG00000024164","C3","protein_coding","complement component 3",3.7336349569384,5.91942044488175
"ENSMUSG00000024529","Lox","protein_coding","lysyl oxidase",4.744389939331,5.94332181929628
"ENSMUSG00000024600","Slc27a6","protein_coding","solute carrier family 27 (fatty acid transporter), member 6",4.3923505851993,5.85811392503623
"ENSMUSG00000025020","Slit1","protein_coding","slit guidance ligand 1",2.81933613360393,5.82212809139756
"ENSMUSG00000025221","Kcnip2","protein_coding","Kv channel-interacting protein 2",8.36919707355464,5.64799740916128
"ENSMUSG00000025321","Itgb8","protein_coding","integrin beta 8",6.34211388712846,6.63684767425238
"ENSMUSG00000025492","Ifitm3","protein_coding","interferon induced transmembrane protein 3",3.57462759108383,3.95862168756846
"ENSMUSG00000025701","Alox5","protein_coding","arachidonate 5-lipoxygenase",3.83115655602886,5.27934351016929
"ENSMUSG00000026042","Col5a2","protein_coding","collagen, type V, alpha 2",4.4728022340189,5.27947669534566
"ENSMUSG00000026153","Fam135a","protein_coding","family with sequence similarity 135, member A",4.18937606257172,6.32200393657533
"ENSMUSG00000026208","Des","protein_coding","desmin",3.38503734237303,3.78484649388155
"ENSMUSG00000026390","Marco","protein_coding","macrophage receptor with collagenous structure",4.11529401001906,5.59336914389231
"ENSMUSG00000026417","Pigr","protein_coding","polymeric immunoglobulin receptor",3.22178976739068,3.57426689835694
"ENSMUSG00000026447","Pik3c2b","protein_coding","phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta",7.80673052071906,5.34936014355656
"ENSMUSG00000026784","Pdss1","protein_coding","prenyl (solanesyl) diphosphate synthase, subunit 1",4.40174159741005,3.771163978812
"ENSMUSG00000026918","Brd3","protein_coding","bromodomain containing 3",2.27023247287703,3.06008163108942
"ENSMUSG00000027215","Cd82","protein_coding","CD82 antigen",2.94673054359827,5.46799525585169
"ENSMUSG00000027971","Ndst4","protein_coding","N-deacetylase/N-sulfotransferase (heparin glucosaminyl) 4",6.01873401167285,6.43864465258147
"ENSMUSG00000028218","Fam92a","protein_coding","family with sequence similarity 92, member A",5.33324825077821,5.00874049957758
"ENSMUSG00000028460","Sit1","protein_coding","suppression inducing transmembrane adaptor 1",4.83741995714335,4.88314950759016
"ENSMUSG00000028550","Atg4c","protein_coding","autophagy related 4C, cysteine peptidase",6.30380523996141,7.77605105843337
