"","RNA_type","EL4.Click.2","EL4.Click.1","EL4.Tot.Click.1","EL4.Tot.Click.2","EL4.Tot.Click.3"
"1","snoRNA",1110,351,421,439,373
"2","snoRNA",1110,351,421,439,373
"3","snoRNA",1110,351,421,198,194
"4","snoRNA",1110,351,421,198,194
"5","snoRNA",1110,351,421,198,194
"6","Mt_tRNA",21,22,22,16,15
"7","snRNA",1066,427,571,294,329
"8","misc_RNA",498,142,183,54,70
"9","rRNA",254,95,149,64,75
"10","lincRNA",3311,1729,1610,505,923
"11","Mt_rRNA",2,2,2,2,2
"12","scaRNA",44,15,25,11,4
"13","sRNA",1,1,0,0,0
"14","macro_lncRNA",1,1,1,0,0
"15","protein_coding",21840,16762,17840,9717,12347
"16","other",37402,24865,26695,12716,16738
