"","gene_short_name","tracking_id","Biotype","log2FoldChange","padj"
"11952","Tub","ENSMUSG00000031028","protein_coding",8.48230681597734,7.83888950722822e-07
"6752","Mir690","ENSMUSG00000076064","miRNA",8.34242137841215,1.23102492326647e-06
"93","1700066O22Rik","ENSMUSG00000085800","processed_transcript",8.25889029491566,9.18002555825934e-10
"7649","Nudt7","ENSMUSG00000031767","protein_coding",7.98854778102007,9.90949931851934e-06
"11163","Tcf15","ENSMUSG00000068079","protein_coding",7.88436689068449,2.76770058258513e-05
"10433","Snai2","ENSMUSG00000022676","protein_coding",7.88089189717804,8.1230117054407e-05
"5604","Insr","ENSMUSG00000005534","protein_coding",7.82285580366375,2.22498946898629e-05
"10798","Sspo","ENSMUSG00000029797","protein_coding",7.78349426080678,0.000472167327099812
"698","Adamts9","ENSMUSG00000030022","protein_coding",7.5903848958372,0.000168331326746411
"10337","Slco5a1","ENSMUSG00000025938","protein_coding",7.58976867626244,0.000124471592635259
"12942","Zfp827","ENSMUSG00000071064","protein_coding",7.53952405137349,6.38756147614342e-05
"8138","Pgm5","ENSMUSG00000041731","protein_coding",7.44236790201943,0.000406290258436172
"12153","Unc45b","ENSMUSG00000018845","protein_coding",7.43377347240502,0.000284517928439075
"2267","Ceacam20","ENSMUSG00000070777","protein_coding",7.40527322923406,0.000387149402689115
"10011","Sh3rf3","ENSMUSG00000037990","protein_coding",7.37550736447428,1.46189707723582e-05
"1784","C130074G19Rik","ENSMUSG00000039349","protein_coding",7.36512002340486,0.000243318534048566
"1214","Arl14","ENSMUSG00000098207","protein_coding",7.36383082336128,0.00159958918667731
"7444","Nkain3","ENSMUSG00000055761","protein_coding",7.36100817883026,0.000391252747063487
"1830","Cacna1b","ENSMUSG00000004113","protein_coding",7.32820196804426,0.000710718375032068
"5125","Hecw1","ENSMUSG00000021301","protein_coding",7.32616606509184,0.00109499217206622
"4714","Gm5177","ENSMUSG00000098065","transcribed_processed_pseudogene",7.32011684814599,0.000730653201098572
"8281","Piwil1","ENSMUSG00000029423","protein_coding",7.28351457377612,0.000402870233569112
"1354","Atp10b","ENSMUSG00000055415","protein_coding",7.25379460779067,0.000150414625735416
"3095","Ddn","ENSMUSG00000059213","protein_coding",7.23805390985351,0.0022874642190913
"5622","Ipcef1","ENSMUSG00000064065","protein_coding",7.19563647452418,0.000831468700990855
"9192","Rbms3","ENSMUSG00000039607","protein_coding",7.1855676799061,0.000984789262043613
"1375","Atp2b3","ENSMUSG00000031376","protein_coding",7.14452840971697,0.000740116101143215
"5570","Impg1","ENSMUSG00000032343","protein_coding",7.08918335795918,0.00135622935699301
"6748","Mir6238","ENSMUSG00000099176","miRNA",7.07627153110288,2.17915133885639e-07
"4324","Fsd1l","ENSMUSG00000054752","protein_coding",7.06251199624754,3.39759789089136e-05
"2731","Cpne2","ENSMUSG00000034361","protein_coding",7.04839385403859,0.00240255211634259
"11384","Tmc7","ENSMUSG00000042246","protein_coding",7.04108308606077,0.00125935789257979
