"","Gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GENENAME","Biotype"
"1","ENSG00000054148",23.7298581497729,4.05317342903633,1.11305546529398,3.64148378532584,0.000271071201034247,0.0159023120601277,"phosphohistidine phosphatase 1","protein_coding"
"2","ENSG00000071894",66.2622798201699,3.33042714163382,0.929637772041238,3.58249980992176,0.000340321864426136,0.0180068079821918,"cleavage and polyadenylation specific factor 1","protein_coding"
"3","ENSG00000090674",21.8677552830842,3.4600671851287,1.05547249228549,3.2782163537359,0.00104465293936156,0.0321982996585098,"mucolipin 1","protein_coding"
"4","ENSG00000093010",53.159902477927,3.12114022310359,0.972350691774934,3.20989150262879,0.00132785082705408,0.036562996100023,"catechol-O-methyltransferase","protein_coding"
"5","ENSG00000099817",93.7238049066988,2.52028688997345,0.677786863667743,3.71840622040871,0.000200483693009811,0.0130883603662829,"RNA polymerase II subunit E","protein_coding"
"6","ENSG00000102030",35.3853327320174,3.82272769968396,0.979025253973708,3.9046262434683,9.43711195098645e-05,0.00872612176904805,"N(alpha)-acetyltransferase 10, NatA catalytic subunit","protein_coding"
"7","ENSG00000102312",30.6056002582718,2.98544509138524,0.956477440763804,3.12129169403221,0.00180059584168995,0.0439714738365516,"porcupine O-acyltransferase","protein_coding"
"8","ENSG00000103148",46.0590780892958,3.09677893831655,0.932438516596967,3.32116153847716,0.000896436365834399,0.0299567015726555,"NPR3 like, GATOR1 complex subunit","protein_coding"
"9","ENSG00000103266",48.0957650287906,2.57272797712475,0.790856322890123,3.2530914941957,0.00114156733844046,0.0337603815152778,"STIP1 homology and U-box containing protein 1","protein_coding"
"10","ENSG00000105409",63.0849524178553,3.64687837693594,0.93236527364325,3.91142664793342,9.17525238444623e-05,0.00869845758717994,"ATPase Na+/K+ transporting subunit alpha 3","protein_coding"
"11","ENSG00000105552",23.7811324921406,4.35949338840518,1.14170476378175,3.8184069355767,0.000134316235652252,0.0104002262467646,"branched chain amino acid transaminase 2","protein_coding"
"12","ENSG00000105726",90.2224162694558,2.82868561690031,0.793633879110882,3.56421983908919,0.000364940003498036,0.018992833843253,"ATPase 13A1","protein_coding"
"13","ENSG00000106348",25.091483204695,3.07386824968601,0.945151839639604,3.25224807355621,0.00114496043988185,0.0337603815152778,"inosine monophosphate dehydrogenase 1","protein_coding"
"14","ENSG00000107223",116.961138956791,2.93758100705841,0.720203464439826,4.0788209889316,4.52646730985788e-05,0.00545697147583373,"endothelial differentiation related factor 1","protein_coding"
"15","ENSG00000115268",231.555342890978,3.40273286928686,0.809148440250677,4.20532587102644,2.60706245709262e-05,0.00392477708663982,"ribosomal protein S15","protein_coding"
