"Gene_name","log2FoldChange","SYMBOL","NK92_Sur_Click_2","NK92_Tot"
"ENSG00000009694",8.25557702332242,"TENM1",219.964846518117,2.02747869286674
"ENSG00000039523",9.55194436860529,"RIPOR1",207.151360313178,1
"ENSG00000100031",7.21631491627264,"LOC102724197",570.200136119779,7.16487215720046
"ENSG00000100031",7.21631491627264,"GGT2",570.200136119779,7.16487215720046
"ENSG00000100031",7.21631491627264,"GGT1",570.200136119779,7.16487215720046
"ENSG00000107736",8.61878100356743,"CDH23",108.487516535149,1
"ENSG00000131871",4.14380037542977,"SELENOS",5104.51414616198,48.0173653968296
"ENSG00000134438",9.07304393334167,"RAX",381.181746456676,1
"ENSG00000148082",8.86644733031195,"SHC3",864.23102860436,1.21355810341565
"ENSG00000154485",7.35364123631796,"MMP21",3024.89727179969,4.28604953841962
"ENSG00000162105",9.22062074370963,"SHANK2",1106.30334460127,1.21355810341565
"ENSG00000164855",8.99642205327851,"TMEM184A",678.13593729205,1
"ENSG00000170419",7.44665592788656,"VSTM2A",594.774966453951,1.4271162068313
"ENSG00000178078",9.46446875353628,"STAP2",511.25809957706,2.02747869286674
"ENSG00000179965",8.07181016471965,"ZNF771",362.194543392938,3.05495738573349
"ENSG00000180155",8.99204357746626,"LYNX1",676.080979906317,1
"ENSG00000188859",8.83466959635278,"FAM78B",606.212428791378,1
"ENSG00000196104",9.24481149657912,"SPOCK3",167.429553077868,1
"ENSG00000198840",2.87454624572744,"ND3",14561.4280353075,230.87864772774
"ENSG00000198899",2.85185363706268,"ATP6",27828.2329176029,533.16413427512
"ENSG00000207445",3.1986466784958,"SNORD15B",8014.33380436059,111.588942072911
"ENSG00000209082",3.43925251757413,NA,5581.90281592879,127.312200205597
"ENSG00000210082",3.54451735320538,"RNR2",264058.615246553,32416.6979756494
"ENSG00000210151",4.06951581615726,NA,1445.78836012393,142.719482765452
"ENSG00000211459",2.73567821384545,"RNR1",187187.521689677,30551.257309414
"ENSG00000213376",8.73862200092818,NA,117.884073085437,1
"ENSG00000214872",9.1999569597803,"SMTNL1",162.304158595892,1
"ENSG00000222426",9.06889225856692,NA,380.086396610536,1
"ENSG00000224078",4.18169054031619,NA,1450.79991432784,9.70768011099571
"ENSG00000224078",4.18169054031619,NA,1450.79991432784,9.70768011099571
"ENSG00000224078",4.18169054031619,NA,1450.79991432784,9.70768011099571
"ENSG00000224078",4.18169054031619,NA,1450.79991432784,9.70768011099571
"ENSG00000228253",5.60340080566304,"ATP8",5276.30020885577,20.2322282897664
"ENSG00000230927",8.67449102013739,"TMBIM7P",542.50874983364,1
"ENSG00000235890",8.97439556812717,"TSPEAR-AS1",355.988699995459,1
"ENSG00000253958",9.33746137170822,"CLDN23",457.856235686467,1
"ENSG00000262899",6.92841807864609,NA,4510.631461685,7.23798225718495
"ENSG00000265028",9.84442384169614,"MIR4792",650.637808607085,1
"ENSG00000270419",12.134429123792,"CAHM",3181.99130303633,1
"ENSG00000271303",6.587260353911,"SRXN1",476.477183070845,1.64067431024694
"ENSG00000272034",3.30796575142996,"SNORD14A",4927.7878109889,59.8457390718752
