"","gene_short_name","tracking_id","Biotype","log2FoldChange","padj"
"11941","Pcdha5","ENSMUSG00000103092","protein_coding",22.7890764187501,NA
"10088","Mir5110","ENSMUSG00000093278","miRNA",21.0858113837175,NA
"7430","Grip1os1","ENSMUSG00000085418","antisense",9.18418273292879,0.00389250340027644
"2306","B230119M05Rik","ENSMUSG00000087024","processed_transcript",9.00002930072304,0.00390819795165498
"233","1700109G15Rik","ENSMUSG00000085044","lincRNA",7.99012992843336,NA
"414","2810025M15Rik","ENSMUSG00000049881","transcribed_processed_pseudogene",6.56732610824055,NA
"771","5730488B01Rik","ENSMUSG00000103995","TEC",5.92082289633912,0.00556156101787038
"11473","Olfr1077-ps1","ENSMUSG00000081027","unprocessed_pseudogene",5.75407493473282,NA
"6825","Gm13238","ENSMUSG00000096233","processed_pseudogene",4.8029190977937,0.141232386317051
"7032","Gm4956","ENSMUSG00000025936","transcribed_unprocessed_pseudogene",4.76594498236027,NA
"32","1110028F11Rik","ENSMUSG00000085972","sense_intronic",3.99727042185178,0.205223200772503
"15339","Snord118","ENSMUSG00000064899","snoRNA",3.36785476746803,0.445945146803558
"594","4930519F16Rik","ENSMUSG00000031325","unitary_pseudogene",2.57790604805347,NA
"13919","Rnu12","ENSMUSG00000065176","snRNA",2.51295522306891,NA
"864","9430041J12Rik","ENSMUSG00000086155","pseudogene",2.50357820000022,NA
"14497","Serpinb10","ENSMUSG00000092572","polymorphic_pseudogene",2.0753882427246,NA
"11049","Nkx2-2os","ENSMUSG00000098763","misc_RNA",1.81867640183895,NA
"7067","Gm5607","ENSMUSG00000047935","sense_overlapping",0.807621930029973,0.824179616704652
"14296","Scarna2","ENSMUSG00000088185","scaRNA",-0.0290996652753716,NA
"14020","Rpph1","ENSMUSG00000092837","ribozyme",-0.840200078739189,NA
