"","gene_short_name","tracking_id","Biotype","log2FoldChange","padj"
"11941","Pcdha5","ENSMUSG00000103092","protein_coding",-23.5104258684018,NA
"913","A330070K13Rik","ENSMUSG00000052014","protein_coding",-22.253503670398,NA
"10088","Mir5110","ENSMUSG00000093278","miRNA",-21.858868826917,NA
"13885","Rnf217","ENSMUSG00000063760","protein_coding",-11.7910577679315,NA
"8134","Ido2","ENSMUSG00000031549","protein_coding",-10.0979453141863,NA
"11622","Olfr881","ENSMUSG00000060583","protein_coding",-10.0611787219146,0.00014083547188587
"17725","Vmn1r203","ENSMUSG00000069289","protein_coding",-10.0115292410753,NA
"3707","Cidec","ENSMUSG00000030278","protein_coding",-9.86036289539138,NA
"828","9130008F23Rik","ENSMUSG00000054951","protein_coding",-9.61925058230376,0.00125907528100822
"14432","Selenbp1","ENSMUSG00000068874","protein_coding",-9.60830855346691,0.0249398120627801
"12846","Pramef6","ENSMUSG00000078512","protein_coding",-9.56795565026639,0.00202666896216435
"16610","Tmem169","ENSMUSG00000026188","protein_coding",-9.49757599022777,NA
"2991","Cblc","ENSMUSG00000040525","protein_coding",-9.33164287004979,NA
"7430","Grip1os1","ENSMUSG00000085418","antisense",-9.18418311452614,0.00389274161425864
"9170","Lingo4","ENSMUSG00000044505","protein_coding",-9.15027675519588,NA
"11414","Oas1h","ENSMUSG00000001168","protein_coding",-9.13077343908323,0.00337606180399354
"16002","Synpo","ENSMUSG00000043079","protein_coding",-9.09268264130752,NA
"5588","Esrp1","ENSMUSG00000040728","protein_coding",-9.06915424784733,NA
"2306","B230119M05Rik","ENSMUSG00000087024","processed_transcript",-9.00003703089905,0.00390807474007674
