"","gene_short_name","tracking_id","Biotype","log2FoldChange","padj"
"15","Snord1c","ENSMUSG00000065640","snoRNA",10.1807211236843,7.60396759616747e-05
"14","Snord1b","ENSMUSG00000077604","snoRNA",9.52742146652136,0.000535724957597621
"12","Snord12","ENSMUSG00000077698","snoRNA",9.32680617862397,0.00019458955734873
"23","Snord87","ENSMUSG00000093178","snoRNA",9.16959315851303,7.60396759616747e-05
"24","Snord95","ENSMUSG00000064780","snoRNA",8.8615712550532,0.00126581790940551
"11","Snord111","ENSMUSG00000080396","snoRNA",8.80893773676181,0.00025764420265114
"13","Snord15b","ENSMUSG00000064966","snoRNA",8.47794678043793,7.60396759616747e-05
"21","Snord53","ENSMUSG00000092887","snoRNA",8.36445632596808,0.00190044303118437
"19","Snord49a","ENSMUSG00000065734","snoRNA",8.19033446485626,0.00129860206341762
"22","Snord65","ENSMUSG00000077457","snoRNA",7.97419106059609,0.000872834923768193
"9","Snora43","ENSMUSG00000064858","snoRNA",7.90230780301573,7.60396759616747e-05
"20","Snord49b","ENSMUSG00000064437","snoRNA",7.79867040670685,0.00110484571700349
"8","Mlana","ENSMUSG00000024806","protein_coding",7.6894895226698,0.0018713277246978
"18","Snord47","ENSMUSG00000064968","snoRNA",7.46271034183474,0.00970795802516675
"16","Snord2","ENSMUSG00000088524","snoRNA",7.29437181908646,0.01964895028785
"7","Mir20b","ENSMUSG00000076041","miRNA",7.07982061742366,0.00598998497370156
"25","Snord96a","ENSMUSG00000064725","snoRNA",7.00823629299999,0.0280217112224586
"5","Htr5b","ENSMUSG00000050534","protein_coding",7.00818042115501,7.60396759616747e-05
"2","Dfna5","ENSMUSG00000029821","protein_coding",6.80980917707044,0.00110484571700349
"4","Gm12238","ENSMUSG00000087342","sense_intronic",6.78249449967551,0.0022831962055309
"10","Snord110","ENSMUSG00000080610","snoRNA",6.66254531755937,0.0208742172849059
"6","Mir18b","ENSMUSG00000077111","miRNA",6.49518471440007,NA
"1","A230103J11Rik","ENSMUSG00000087026","processed_transcript",6.42430900014847,0.00677271921117541
"17","Snord32a","ENSMUSG00000065219","snoRNA",6.29457550168905,0.00360934738928881
"3","Gas5","ENSMUSG00000053332","processed_transcript",6.02119678928586,0.011416899072074
