"","gene_short_name","tracking_id","Biotype","log2FoldChange","padj"
"11622","Olfr881","ENSMUSG00000060583","protein_coding",10.0611780108003,0.000140824559857972
"828","9130008F23Rik","ENSMUSG00000054951","protein_coding",9.61927487924204,0.00125897290821308
"12846","Pramef6","ENSMUSG00000078512","protein_coding",9.56794825880615,0.00202656851097006
"4419","Cyp2d40","ENSMUSG00000068083","protein_coding",8.88401203440091,0.000872916428660405
"8439","Irx3","ENSMUSG00000031734","protein_coding",8.85635283792822,0.000194612325895779
"1850","Aqp9","ENSMUSG00000032204","protein_coding",8.57567939921767,0.000754066302476561
"13572","Rbp2","ENSMUSG00000032454","protein_coding",8.4789999769768,0.00187114233271402
"14125","Rspo2","ENSMUSG00000051920","protein_coding",8.32493564240933,0.00167744218840664
"3245","Cd207","ENSMUSG00000034783","protein_coding",8.23267198004161,0.00125897290821308
"16169","Tbr1","ENSMUSG00000035033","protein_coding",8.15829484681308,0.00187114233271402
"12257","Phlda3","ENSMUSG00000041801","protein_coding",8.1523179626727,0.00129853755349682
"7126","Gm7325","ENSMUSG00000079471","protein_coding",8.04665544393175,0.00110478645217791
"11199","Nptx2","ENSMUSG00000059991","protein_coding",7.96849860357773,0.00125897290821308
"8639","Kcnip2","ENSMUSG00000025221","protein_coding",7.81075554926356,0.000257622546234663
"18267","Zfp174","ENSMUSG00000054939","protein_coding",7.74695641041435,0.000140824559857972
"5389","Elovl4","ENSMUSG00000032262","protein_coding",7.64030215409578,0.00110478645217791
"13937","Ros1","ENSMUSG00000019893","protein_coding",7.57472935903702,0.00203433562942843
"17151","Trpv3","ENSMUSG00000043029","protein_coding",7.477088841665,0.00187114233271402
"10933","Nes","ENSMUSG00000004891","protein_coding",7.32034072382803,0.00200366077976299
"12324","Pik3c2b","ENSMUSG00000026447","protein_coding",7.29456365009214,0.000535671506814095
"13857","Rnf149","ENSMUSG00000048234","protein_coding",7.20449741534027,0.000535671506814095
"5500","Ephb3","ENSMUSG00000005958","protein_coding",7.06510893259429,0.000535671506814095
