"","gene_short_name","tracking_id","Biotype","log2FoldChange","padj","Name","Species"
"13","Pcdha5","ENSMUSG00000103092","protein_coding",22.7890764187501,NA,"protocadherin alpha 5(Pcdha5)","Mus musculus"
"2","A330070K13Rik","ENSMUSG00000052014","protein_coding",21.356489041969,NA,"RIKEN cDNA A330070K13 gene(A330070K13Rik)","Mus musculus"
"10","Mir5110","ENSMUSG00000093278","miRNA",21.0858113837175,NA,"microRNA 5110(Mir5110)","Mus musculus"
"15","Rnf217","ENSMUSG00000063760","protein_coding",11.7910448367307,NA,"ring finger protein 217(Rnf217)","Mus musculus"
"8","Ido2","ENSMUSG00000031549","protein_coding",10.097958863957,NA,"indoleamine 2,3-dioxygenase 2(Ido2)","Mus musculus"
"12","Olfr881","ENSMUSG00000060583","protein_coding",10.0611780108003,0.000140824559857972,"olfactory receptor 881(Olfr881)","Mus musculus"
"19","Vmn1r203","ENSMUSG00000069289","protein_coding",10.0115660758763,NA,"vomeronasal 1 receptor 203(Vmn1r203)","Mus musculus"
"5","Cidec","ENSMUSG00000030278","protein_coding",9.86039814159982,NA,"cell death-inducing DFFA-like effector c(Cidec)","Mus musculus"
"1","9130008F23Rik","ENSMUSG00000054951","protein_coding",9.61927487924204,0.00125897290821308,"RIKEN cDNA 9130008F23 gene(9130008F23Rik)","Mus musculus"
"16","Selenbp1","ENSMUSG00000068874","protein_coding",9.60830020135793,0.0249383237512003,"selenium binding protein 1(Selenbp1)","Mus musculus"
"14","Pramef6","ENSMUSG00000078512","protein_coding",9.56794825880615,0.00202656851097006,"PRAME family member 6(Pramef6)","Mus musculus"
"18","Tmem169","ENSMUSG00000026188","protein_coding",9.49760354356441,NA,"transmembrane protein 169(Tmem169)","Mus musculus"
"4","Cblc","ENSMUSG00000040525","protein_coding",9.33176696458663,NA,"Casitas B-lineage lymphoma c(Cblc)","Mus musculus"
"7","Grip1os1","ENSMUSG00000085418","antisense",9.18418273292879,0.00389250340027644,"glutamate receptor interacting protein 1, opposite strand 1(Grip1os1)","Mus musculus"
"9","Lingo4","ENSMUSG00000044505","protein_coding",9.15028183110119,NA,"leucine rich repeat and Ig domain containing 4(Lingo4)","Mus musculus"
"11","Oas1h","ENSMUSG00000001168","protein_coding",9.13076582688075,0.00337591257959637,"2'-5' oligoadenylate synthetase 1H(Oas1h)","Mus musculus"
"17","Synpo","ENSMUSG00000043079","protein_coding",9.0926882446332,NA,"synaptopodin(Synpo)","Mus musculus"
"6","Esrp1","ENSMUSG00000040728","protein_coding",9.06918483784961,NA,"epithelial splicing regulatory protein 1(Esrp1)","Mus musculus"
"3","B230119M05Rik","ENSMUSG00000087024","processed_transcript",9.00002930072304,0.00390819795165498,"RIKEN cDNA B230119M05 gene(B230119M05Rik)","Mus musculus"
