"","RNA_type","EL4.NP.ER.Son_FPKM","EL4.NP.SAL.Son_FPKM","EL4.NP.SAL.Ext_FPKM","EL4.Tot_FPKM","EL4.Tot.ER_FPKM","EL4.IC.SAL.1.F_FPKM","EL4.IC.SAL.2.F_FPKM"
"1","miRNA",736,786,736,837,442,15,42
"2","rRNA",253,186,167,110,92,2,3
"3","lincRNA",100,141,135,128,38,40,60
"4","snRNA",606,472,480,504,337,11,24
"5","scaRNA",39,26,27,26,21,0,0
"6","snoRNA",607,533,481,417,304,22,36
"7","misc_RNA",112,144,121,98,37,6,13
"8","Mt_tRNA",29,22,21,22,22,0,1
"9","Mt_rRNA",4,2,2,2,2,2,2
"10","sRNA",0,1,0,0,0,0,1
"11","macro_lncRNA",0,0,0,0,0,0,0
"12","protein_coding",5322,7092,7086,8175,4302,3652,4607
"13","other",6117,8539,8438,9638,4997,4128,5237
