"","ID","Gene.name","Biotype","EL4.NP.ER.Son","EL4.NP.SAL.Son","EL4.NP.SAL.Ext","EL4.Tot","EL4.Tot.ER","EL4.IC.SAL.1","EL4.IC.SAL.2"
"1","NR_000002","Snord32a",".",20488.5,148204,175577,1341940,5720290,2214.73,14263.4
"2","NR_028567","Snord1b","snoRNA",1723.729,1187.59,1601.84,75161.3,735941,0,9.73278
"3","NR_028569","Snord1c","snoRNA",405.605,744.774,624.91,28594.9,305300,0,9.35114
"4","NR_106164","Mir3473f","miRNA",0,26.9091,33.762,14.8861,0.103413,3690.59,2259.48
"5","NR_039558","Mir5099","miRNA",12788.89,258756,230886,0,191259,3700.98,64904.8
"6","NR_004418","Rnu73b","snoRNA",554.471,9461.11,7118.2,33293.8,127711,0,600.029
"7","NR_004417","Snord73a","snoRNA",1050.031,6899.6,8913.57,21012.2,113752,0,1113.13
"8","NR_002173","Snord15b","snoRNA",119.2615,440.896,493.328,61466.5,95811.9,0,291.395
"9","NR_029816","Mir92-1",".",21042.78,227798,132243,19163.7,94006.6,0,0
"10","NR_029566","Mir10b","miRNA",21181.03,3015910,1404790,5451.99,144424,0,344.879
"11","NR_029527","Mirlet7i","miRNA",7190.07,173746,88499.7,3513.71,59391.8,0,1448.48
"12","NR_030703","Snord104","snoRNA",31346.8,236412,319166,0,45649.2,0,74.5969
"13","NR_029718","Mir30d","miRNA",10953.91,68987.7,35882.7,6614.62,50858.3,0,576.267
"14","NR_029543","Mir128-1","miRNA",5123.8,4756.2,1823.32,3030.97,41988.9,0,117.515
"15","NR_029558","Mir146","miRNA",5033.9,12047.7,8700.3,1570.41,33123.4,0,1449.81
"16","NR_028531","Snord69","snoRNA",2621.75,8729.28,6290.75,312005,22662.8,93.6708,0
"17","NR_029732","Mirlet7f-2","miRNA",2891.13,22425.1,7639.27,713.805,25168,0,577.98
"18","NR_029577","Mir191",".",1325.834,3199.54,2005.8,1285.4,20717.9,0,0
"19","NR_029731","Mirlet7f-1",".",1740.61,16960.7,5717.13,599.516,18753.8,0,557.107
"20","NR_029526","Mirlet7g","miRNA",907.494,19116.9,11044.9,628.893,20903.7,0,202.056
"21","NR_029787","Mir25","miRNA",1016.062,46510.7,23744.4,0,18447,0,556.732
"22","NR_028562","Snord91a","snoRNA",888.715,57921.7,52370.2,0,15501.6,0,0
"23","NR_029879","Mir378a",".",2218.61,311928,202279,1463.14,15159.2,0,0
"24","NR_029727","Mirlet7b","miRNA",4243.01,10120.7,5167.83,10267.7,15639.4,0,0
"25","NR_029823","Mir128-2","miRNA",2063.264,2157.95,1339.04,1106.52,14784.7,0,0
"26","NR_029728","Mirlet7c-1","miRNA",1177.067,4282.2,1805.47,7431.92,13107.9,0,78.0984
"27","NR_029729","Mirlet7c-2","miRNA",1257.238,4102.79,1661.69,7430.71,12841.2,0,0
"28","NR_029725","Mirlet7a-1","miRNA",824.311,1277.4,586.172,8389.32,10583.7,0,17.5721
"29","NR_029726","Mirlet7a-2","miRNA",762.54,1189.47,515.02,7794.89,9840.72,0,0
"30","NR_046127_7","Gm25018",".",187923.6,0,0,10260,9382.23,1268.85,13778.8
"31","NR_046155_6","Gm23284",".",187771,0,0,10293.4,9354.5,1268.85,13778.4
"32","NR_046152_9","Gm25212",".",186975.8,0,0,10302.5,9352.38,1268.85,13778.4
"33","NR_046154_8","Gm22291",".",188139.6,0,0,10248.3,9348.11,1268.85,13778.8
"34","NR_029784","Mir10a","miRNA",972.594,120305,54898.7,386.284,9456.2,0,18.851
"35","NR_029569","Mir182","miRNA",1607.995,558671,341514,494.911,8535.83,0,4456.35
"36","NR_029748","Mir92-2","miRNA",2329.89,5522.98,3166.21,1673.17,7780.73,0,326.032
"37","NR_029536","Mir99b","miRNA",1291.792,6699.63,2833.73,1183.96,6683.99,0,0
"38","NR_030713","Mir183","miRNA",525.079,148935,73666,1752.53,6514.3,0,166.014
"39","NR_037683","Snord42b","snoRNA",898.271,16217.1,18400.5,0,5335.37,0,13.6194
"40","NR_030702","Snord4a","snoRNA",463.0301,2858.16,3299.88,20163.1,4743.04,0,0
"41","NR_028533","Snord88a","snoRNA",4722.94,4849.44,5345.91,0,4466.46,0,1.79615
"42","NR_028548","Snord16a","snoRNA",1145.117,15751.6,15908.9,73926.2,4425.13,0,536.654
"43","NR_029820","Mir181b-1",".",355.944,4996.81,4024.16,1182.3,4318.97,0,134.843
"44","NR_004432","Rnu12","snRNA",200248.8,8007.05,12357.7,32230.4,4173.01,3.35578,1339.56
"45","NR_029553","Mir140","miRNA",530.139,245034,155404,571.913,6307.88,0,2352.26
"46","NR_029555","Mir142",".",1175.506,2135.34,1806.03,0,3834.8,0,5852.69
