"","gene_short_name","tracking_id","Biotype","padj"
"16169","Tbr1","ENSMUSG00000035033","protein_coding",1.14649086210142e-17
"15974","Sycp3","ENSMUSG00000020059","protein_coding",1.14425556372788e-12
"17921","Wdr72","ENSMUSG00000044976","protein_coding",4.45320213343432e-09
"4771","Dhtkd1","ENSMUSG00000025815","protein_coding",9.52668681301531e-09
"14989","Slc37a2","ENSMUSG00000032122","protein_coding",1.20133184393448e-07
"5254","Efcab9","ENSMUSG00000044056","protein_coding",5.44949703447247e-07
"7988","Hrasls5","ENSMUSG00000024973","protein_coding",5.44949703447247e-07
"13168","Pthlh","ENSMUSG00000048776","protein_coding",7.97069426035907e-07
"5080","Duoxa2","ENSMUSG00000027225","protein_coding",9.10481921310733e-07
"10100","Mir6240","ENSMUSG00000098343","miRNA",1.22109896890392e-06
"14171","Rwdd3","ENSMUSG00000028133","protein_coding",2.6066649474054e-06
"14488","Serpina12","ENSMUSG00000041567","protein_coding",4.81174741574147e-06
"7665","Hcn4","ENSMUSG00000032338","protein_coding",5.18904313625417e-06
"1905","Arhgap36","ENSMUSG00000036198","protein_coding",8.68968447647053e-06
"2521","Bdkrb1","ENSMUSG00000041347","protein_coding",9.51375925981748e-06
"1666","Ankrd1","ENSMUSG00000024803","protein_coding",9.83940271774265e-06
"11614","Olfr829","ENSMUSG00000051414","protein_coding",9.83940271774265e-06
"1378","Afm","ENSMUSG00000029369","protein_coding",1.04616757997654e-05
"500","4921517D22Rik","ENSMUSG00000049902","protein_coding",1.16235523102694e-05
"476","4732456N10Rik","ENSMUSG00000048699","protein_coding",1.35627306009394e-05
"13206","Ptprf","ENSMUSG00000033295","protein_coding",1.35627306009394e-05
"137","1700020L24Rik","ENSMUSG00000035085","protein_coding",1.49681506766815e-05
"5224","Edn1","ENSMUSG00000021367","protein_coding",1.6309319931004e-05
"16172","Tbx1","ENSMUSG00000009097","protein_coding",1.6309319931004e-05
"10933","Nes","ENSMUSG00000004891","protein_coding",1.82494192706262e-05
"3565","Cfap44","ENSMUSG00000071550","protein_coding",1.92212085593315e-05
"8964","Krt80","ENSMUSG00000037185","protein_coding",1.92212085593315e-05
