"","RNA_type","EL4.NP.ER.Son","EL4.Tot.ER","EL4.Tot","EL4.NP.SAL.Ext","EL4.NP.SAL.Son","EL4.IC.SAL.1","EL4.IC.SAL.2"
"1","snoRNA",535,540,857,871,997,233,706
"2","Mt_tRNA",19,22,22,21,22,2,21
"3","snRNA",545,637,871,951,974,300,845
"4","misc_RNA",284,257,429,438,469,130,372
"5","rRNA",204,148,197,257,277,96,220
"6","lincRNA",2558,2625,3173,3244,3303,2338,3050
"7","Mt_rRNA",2,2,2,2,2,2,2
"8","scaRNA",29,30,41,39,45,8,25
"9","sRNA",0,0,1,0,1,1,1
"10","macro_lncRNA",1,1,1,1,1,1,1
"11","protein_coding",20593,20667,21607,21746,21775,20032,21593
"12","other",31106,31514,34608,35209,35521,29269,34228
