"","Gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GENENAME","Biotype"
"1","ENSG00000009694",37.0794470230926,7.22634972718338,1.22664761580715,5.8911374660997,3.8354632195428e-09,4.92826760029393e-07,"teneurin transmembrane protein 1","protein_coding"
"2","ENSG00000012779",15.5427306421332,7.83008665556618,1.52690553988819,5.12807534652049,2.92719295434729e-07,2.12252629540757e-05,"arachidonate 5-lipoxygenase","protein_coding"
"3","ENSG00000023445",34.9620897090986,2.0938450103536,0.733693826859318,2.85384029918393,0.0043194238996296,0.0404411995877409,"baculoviral IAP repeat containing 3","protein_coding"
"4","ENSG00000029363",72.7290249300639,2.12798032933344,0.584897212877492,3.63821246277533,0.00027453690770652,0.00527110862796519,"BCL2 associated transcription factor 1","protein_coding"
"5","ENSG00000031003",31.2019437053351,2.34515555535002,0.800729496893012,2.92877377997149,0.00340301993415232,0.0340601818960091,"family with sequence similarity 13 member B","protein_coding"
"6","ENSG00000032219",16.0469043281203,2.8791067432433,0.987916544811283,2.91432182036518,0.00356462229344749,0.0350598348515701,"AT-rich interaction domain 4A","protein_coding"
"7","ENSG00000036549",32.9275188648563,2.02451643971383,0.714952040505847,2.83168146255157,0.0046303951430196,0.0422118142927743,"zinc finger ZZ-type containing 3","protein_coding"
"8","ENSG00000040341",23.2625019244539,2.71175854245032,0.830755323814777,3.26420844346576,0.00109770375013992,0.0152692831856198,"staufen double-stranded RNA binding protein 2","protein_coding"
"9","ENSG00000049860",31.9226338856164,2.04329067823463,0.726409329557263,2.8128640355982,0.00491024083691808,0.0437492830646192,"hexosaminidase subunit beta","protein_coding"
"10","ENSG00000059691",13.498123065096,2.95449513126344,1.05764101417007,2.7934763229486,0.00521448461957622,0.0453919887190696,"glutamyl-tRNA amidotransferase subunit B","protein_coding"
"11","ENSG00000062194",22.5119339168964,2.62385534801349,0.936054643710935,2.80310061559159,0.00506138765210007,0.0445526469435343,"GC-rich promoter binding protein 1","protein_coding"
"12","ENSG00000065548",37.5440002002159,2.07863315096861,0.740069319443981,2.80870061270788,0.00497418804181755,0.0440885119545233,"zinc finger CCCH-type containing 15","protein_coding"
"13","ENSG00000079950",28.064753633049,4.14428068541085,0.839885736155443,4.93433869276218,8.0422778918715e-07,4.72553156129277e-05,"syntaxin 7","protein_coding"
"14","ENSG00000080986",27.6705560116317,2.66183507263991,0.7752604225877,3.43347215346698,0.000595903410528842,0.00948990104244062,"NDC80, kinetochore complex component","protein_coding"
"15","ENSG00000085788",45.3449499052956,3.09832753532423,0.67243600673723,4.60761693942867,4.07310142228287e-06,0.000167418763561248,"DDHD domain containing 2","protein_coding"
"16","ENSG00000096401",32.6461846269008,2.13989693124731,0.71679319041763,2.98537564231118,0.0028323027487449,0.0305762950730275,"cell division cycle 5 like","protein_coding"
"17","ENSG00000100031",104.702342503704,4.77713589956742,0.558219595420084,8.5578076061132,1.15034126529218e-17,1.96018151605788e-14,"gamma-glutamyltransferase 1","protein_coding"
"18","ENSG00000100031",104.702342503704,4.77713589956742,0.558219595420084,8.5578076061132,1.15034126529218e-17,1.96018151605788e-14,"gamma-glutamyltransferase 2","protein_coding"
"19","ENSG00000100031",104.702342503704,4.77713589956742,0.558219595420084,8.5578076061132,1.15034126529218e-17,1.96018151605788e-14,"inactive gamma-glutamyltranspeptidase 2-like","protein_coding"
"20","ENSG00000101198",15.1894867639029,7.79691971160785,1.53313116526001,5.08561817037066,3.66430593435216e-07,2.49974255796623e-05,"sodium/potassium transporting ATPase interacting 4","protein_coding"
"21","ENSG00000101558",68.4627600926079,3.21449809912556,0.640381105182663,5.01966418607659,5.17618876683997e-07,3.29728062007301e-05,"VAMP associated protein A","protein_coding"
"22","ENSG00000101558",68.4627600926079,3.21449809912556,0.640381105182663,5.01966418607659,5.17618876683997e-07,3.29728062007301e-05,"VAMP associated protein A","protein_coding"
"23","ENSG00000104946",45.4991311138691,2.10147793027023,0.627920263372694,3.34672736787112,0.000817715894596741,0.0121164163860248,"TBC1 domain family member 17","protein_coding"
"24","ENSG00000105976",14.3028792103514,5.1452015833164,1.28779454793638,3.99535903577267,6.45962834402628e-05,0.00166775859063951,"MET proto-oncogene, receptor tyrosine kinase","protein_coding"
"25","ENSG00000106025",13.0700234945211,7.58010773492101,1.57699567442968,4.80667630091144,1.53460157828284e-06,7.63492288874148e-05,"tetraspanin 12","protein_coding"
"26","ENSG00000107736",18.2403669015481,7.07561932032542,1.47826776943292,4.78642602283056,1.69777477441974e-06,8.14931891721477e-05,"cadherin related 23","protein_coding"
"27","ENSG00000108848",191.412607322401,2.0819542036106,0.447387644209591,4.65358002295489,3.26220915237644e-06,0.000139844135739609,"LUC7 like 3 pre-mRNA splicing factor","protein_coding"
"28","ENSG00000109680",19.251812584332,5.63058887528791,1.2045016027287,4.67462132265516,2.94496501203715e-06,0.000128672317449008,"TBC1 domain family member 19","protein_coding"
"29","ENSG00000109805",30.0714377941472,2.22373446922055,0.726512468857457,3.06083455486688,0.00220721020035412,0.0262184350079784,"non-SMC condensin I complex subunit G","protein_coding"
"30","ENSG00000111057",12.7874283919369,7.54857206620121,1.58385573905507,4.7659467210724,1.87968929499992e-06,8.89719599633296e-05,"keratin 18","protein_coding"
"31","ENSG00000111142",49.0705182507661,2.16796634582599,0.620335716997122,3.49482753680624,0.000474368169158887,0.00794420992871492,"methionyl aminopeptidase 2","protein_coding"
"32","ENSG00000111731",13.93443677469,3.8459739142478,1.16042822013228,3.31427127290078,0.000918823183247766,0.0133248911000357,"C2 calcium dependent domain containing 5","protein_coding"
"33","ENSG00000114346",31.7710049423778,2.43760641082492,0.731347396504965,3.33303491948422,0.000859041599159262,0.0126736526837003,"epithelial cell transforming 2","protein_coding"
"34","ENSG00000115368",32.1086983100592,2.19351824559415,0.734829527892652,2.98507090737729,0.00283512595160701,0.0305762950730275,"WD repeat domain 75","protein_coding"
"35","ENSG00000117461",43.8071356551979,3.84899307604321,0.722511255363357,5.32724306710976,9.97146846462826e-08,8.39080605616126e-06,"phosphoinositide-3-kinase regulatory subunit 3","protein_coding"
"36","ENSG00000123178",25.5340291494819,3.01466177620606,0.848525013321824,3.55282605565651,0.000381116382988775,0.00669507542899868,"SPRY domain containing 7","protein_coding"
"37","ENSG00000125676",33.4450379784212,2.78305114687065,0.744777633131178,3.73675446612193,0.000186410790241083,0.00394588803193546,"THO complex 2","protein_coding"
"38","ENSG00000126777",32.3500456182491,2.08652907006176,0.747326579476582,2.79199098140353,0.00523848161586478,0.0455427177215999,"kinectin 1","protein_coding"
"39","ENSG00000127415",14.0985327700729,3.62873847620786,1.19097935985617,3.04685253037978,0.0023125113243776,0.0267607422528994,"iduronidase, alpha-L-","protein_coding"
"40","ENSG00000127952",19.3172882378023,3.34511695044612,0.920717354540109,3.63316378685724,0.000279967177653075,0.00534525569435114,"serine/threonine/tyrosine interacting like 1","protein_coding"
"41","ENSG00000127955",16.117342719793,6.88135031204801,1.50713526605424,4.56584784859008,4.9747951259739e-06,0.00019558154016928,"G protein subunit alpha i1","protein_coding"
"42","ENSG00000129515",16.0803855093312,2.82917549039094,0.967908706691378,2.92297762261274,0.00346701432098884,0.0343976268003784,"sorting nexin 6","protein_coding"
"43","ENSG00000131871",210.929095320073,3.89279394655828,0.465611397405284,8.36060708189637,6.23963336646405e-17,7.08822350430316e-14,"selenoprotein S","protein_coding"
"44","ENSG00000134438",24.9855236027517,7.52987850571011,1.41729903593035,5.31283682188304,1.07931679856921e-07,8.86340156511773e-06,"retina and anterior neural fold homeobox","protein_coding"
"45","ENSG00000135655",26.4513284770471,2.37628408271287,0.803043606790581,2.95909719300282,0.00308541772744248,0.0323670793956534,"ubiquitin specific peptidase 15","protein_coding"
"46","ENSG00000138315",13.6352136996896,7.64118348892327,1.56406523229319,4.88546342643264,1.03185859630982e-06,5.67189370358689e-05,"oncoprotein induced transcript 3","protein_coding"
"47","ENSG00000138778",20.601865317062,3.29555417925123,0.926945850162139,3.55528230551416,0.000377573460212004,0.00668764957020765,"centromere protein E","protein_coding"
"48","ENSG00000139160",152.768603664106,5.47530347971054,0.616614471547959,8.87962208536113,6.70878969086973e-19,1.5242370177656e-15,"electron transfer flavoprotein beta subunit lysine methyltransferase","protein_coding"
"49","ENSG00000144040",28.2185989567982,3.17934635392849,0.851105431920211,3.73554936285091,0.000187305831387415,0.00395255896822484,"sideroflexin 5","protein_coding"
"50","ENSG00000144191",15.6133794177793,7.83662951692444,1.52569193795194,5.13644289648944,2.79987373091541e-07,2.05203648923865e-05,"cyclic nucleotide gated channel alpha 3","protein_coding"
"51","ENSG00000144674",32.2562506082041,2.1530052699884,0.709437346533907,3.03480678104603,0.00240689830354715,0.0274797635460257,"golgin A4","protein_coding"
"52","ENSG00000145734",85.5164999263716,2.34406833625806,0.52733686027019,4.44510617948657,8.78484685623658e-06,0.000314363428318134,"B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB","protein_coding"
"53","ENSG00000148082",57.0283673250109,6.86135182962491,0.940751114413038,7.29348254230441,3.02043873329117e-13,1.71560920050938e-10,"SHC adaptor protein 3","protein_coding"
"54","ENSG00000152061",22.6325239037573,2.5055170929711,0.828251099613394,3.02506944348231,0.00248576046145603,0.0281444240951567,"RAB GTPase activating protein 1 like","protein_coding"
"55","ENSG00000153201",79.8241753245694,2.16648989892119,0.524071936122952,4.13395518742853,3.56573030199187e-05,0.00103421352078198,"RAN binding protein 2","protein_coding"
"56","ENSG00000154485",107.206145293716,6.59531167135066,1.76808431232521,3.73020201886025,0.000191326301592091,0.00400683585575577,"matrix metallopeptidase 21","protein_coding"
"57","ENSG00000155657",15.2024695487676,6.80803348852916,1.52180052882767,4.47367007670432,7.68883477544454e-06,0.000281758590480806,"titin","protein_coding"
"58","ENSG00000155903",18.461945484951,3.02642263109458,0.944758433888248,3.20338249708873,0.0013582345359734,0.0179521208850923,"RAS p21 protein activator 2","protein_coding"
"59","ENSG00000159128",14.5796133528177,5.89583019545363,1.43658679436965,4.10405428934812,4.05972130088412e-05,0.00114817677953636,"interferon gamma receptor 2","protein_coding"
"60","ENSG00000162105",73.8039536829744,6.39805260312398,0.773406385125151,8.27256242795134,1.31110172824813e-16,1.27663848281989e-13,"SH3 and multiple ankyrin repeat domains 2","protein_coding"
"61","ENSG00000163046",83.96051370094,2.08738344437643,0.676771470917714,3.08432540979587,0.00204014313735355,0.0248291495482648,"ankyrin repeat domain 30B like","protein_coding"
"62","ENSG00000163083",17.2124617967045,5.01624568232647,1.16088650167135,4.32104747113908,1.55290257418641e-05,0.000513814754643426,"inhibin beta B subunit","protein_coding"
"63","ENSG00000163811",85.1306431607128,2.0622351467372,0.510452120074102,4.04001681183698,5.34473701044407e-05,0.0014120049404336,"WD repeat domain 43","protein_coding"
"64","ENSG00000164211",73.2419475030052,2.78942650704819,0.566163368555154,4.92689329966153,8.35473479644496e-07,4.86716857885204e-05,"StAR related lipid transfer domain containing 4","protein_coding"
"65","ENSG00000164855",23.6096738506487,7.45325716451415,1.42707510939966,5.22275044629543,1.76284893277962e-07,1.36540662793476e-05,"transmembrane protein 184A","protein_coding"
"66","ENSG00000166348",17.926759215854,2.92322408202097,0.984446083994352,2.96941003631209,0.00298372165040978,0.0315860541102721,"ubiquitin specific peptidase 54","protein_coding"
"67","ENSG00000168763",719.242131865127,5.6392579452048,0.40104682109665,14.0613455800109,6.56264206235191e-45,2.23654841484953e-41,"cyclin and CBS domain divalent metal cation transport mediator 3","protein_coding"
"68","ENSG00000169251",22.5462403423842,2.70167189091738,0.9116783404249,2.96340471317792,0.00304256245411954,0.0320032495174056,"NMD3 ribosome export adaptor","protein_coding"
"69","ENSG00000169429",23.4537394710725,4.20906629399193,0.908481684236541,4.63307776813255,3.6026912437609e-06,0.000152123650184501,"C-X-C motif chemokine ligand 8","protein_coding"
"70","ENSG00000169764",26.5178133855,2.22988026588229,0.796635328575248,2.79912299379234,0.00512416152003489,0.0448923970701258,"UDP-glucose pyrophosphorylase 2","protein_coding"
"71","ENSG00000170419",38.3622851758106,9.13353690353733,1.36042811978029,6.71372251921135,1.89720935491687e-11,6.40369336055926e-09,"V-set and transmembrane domain containing 2A","protein_coding"
"72","ENSG00000173698",24.6066506475606,3.18905937063224,0.838473811897165,3.803409629952,0.000142718071578054,0.00312786616037305,"adhesion G protein-coupled receptor G2","protein_coding"
"73","ENSG00000176595",13.213143639589,5.09897805428141,1.31476030929585,3.87825675769927,0.000105207647779264,0.00247274250780504,"kelch repeat and BTB domain containing 11","protein_coding"
"74","ENSG00000177679",833.374934035974,6.08746128039582,1.25554456478093,4.84846293087012,1.24421774795634e-06,6.64030762607357e-05,"serine/arginine repetitive matrix 3","protein_coding"
"75","ENSG00000178105",39.802938427114,2.37521284922506,0.746332258794416,3.18251398252816,0.00146002465900346,0.0189914657934495,"DEAD-box helicase 10","protein_coding"
"76","ENSG00000179965",68.4318997682378,4.40888519336948,0.668703414973557,6.59318480307719,4.30490157017126e-11,1.17368836409149e-08,"zinc finger protein 771","protein_coding"
"77","ENSG00000180155",23.5390250750027,7.44887872128038,1.42760648440224,5.21773948400026,1.81119964664715e-07,1.38709402152213e-05,"Ly6/neurotoxin 1","protein_coding"
"78","ENSG00000186432",48.5787961565741,2.11617719438588,0.643292844856889,3.28960163525006,0.00100329315347802,0.0142171437299504,"karyopherin subunit alpha 4","protein_coding"
"79","ENSG00000187097",28.2452941980867,2.154044054542,0.75888313346819,2.83843975382316,0.00453346766194831,0.0417335378480119,"ectonucleoside triphosphate diphosphohydrolase 5","protein_coding"
"80","ENSG00000188001",16.5578215124686,3.85078178731848,1.07589466523873,3.57914386206576,0.000344721673794008,0.00626144235466179,"tumor protein p63 regulated 1","protein_coding"
"81","ENSG00000188859",22.0035957557719,5.81545604504274,1.17189904878721,4.96242065480053,6.96200104955454e-07,4.12634775250119e-05,"family with sequence similarity 78 member B","protein_coding"
"82","ENSG00000196104",27.6943200532555,8.66343809106377,1.40554437844815,6.16375990961524,7.103762616211e-10,1.18095721931937e-07,"SPARC/osteonectin, cwcv and kazal like domains proteoglycan 3","protein_coding"
"83","ENSG00000196576",21.0086519366092,6.42925342043448,1.3407095848928,4.79541094721757,1.62341678034591e-06,7.96058185240123e-05,"plexin B2","protein_coding"
"84","ENSG00000197361",15.0965176060791,4.8321181655955,1.19997722297315,4.02684157089509,5.65310949086649e-05,0.00148198439575946,"F-box and leucine rich repeat protein 22","protein_coding"
"85","ENSG00000198586",36.7313507250376,2.16289039432863,0.673940855848767,3.20931781410502,0.00133050335824615,0.0177568087479415,"tousled like kinase 1","protein_coding"
"86","ENSG00000198604",71.9674813500673,2.03028204330284,0.538064438252839,3.77330650190415,0.000161098173415342,0.00346386482649518,"bromodomain adjacent to zinc finger domain 1A","protein_coding"
"87","ENSG00000198695",804.343227113876,2.03969472762239,0.42106878494848,4.84408913824365,1.27193824036693e-06,6.66887003564691e-05,"NADH dehydrogenase, subunit 6 (complex I)","protein_coding"
"88","ENSG00000198712",3396.43126820503,2.58058518005707,0.39677202938682,6.5039493435189,7.8238252363776e-11,1.9045426003982e-08,"cytochrome c oxidase subunit II","protein_coding"
"89","ENSG00000198727",2807.68118204199,2.49198859257285,0.415748892547122,5.9939752991414,2.0477248960424e-09,2.96963678540958e-07,"cytochrome b","protein_coding"
"90","ENSG00000198763",2304.1451892705,2.64615694937055,0.449400600260521,5.88819184450701,3.9044373593878e-09,4.92826760029393e-07,"MTND2","protein_coding"
"91","ENSG00000198786",3802.39096260251,2.62634497624545,0.432398865386992,6.07389423627395,1.24844970588031e-09,1.89098515450671e-07,"NADH dehydrogenase, subunit 5 (complex I)","protein_coding"
"92","ENSG00000198836",36.1934706214612,2.16999787793594,0.713922187674898,3.03954396627341,0.00236936616414181,0.0271687117114724,"OPA1, mitochondrial dynamin like GTPase","protein_coding"
"93","ENSG00000198840",625.547110623845,3.57951529905971,0.51999751366156,6.88371618136126,5.83109966479344e-12,2.33792795971953e-09,"NADH dehydrogenase, subunit 3 (complex I)","protein_coding"
"94","ENSG00000198886",4752.73634140423,2.8850099997982,0.41590263621514,6.93674371976289,4.01240751862056e-12,1.70928560293236e-09,"NADH dehydrogenase, subunit 4 (complex I)","protein_coding"
"95","ENSG00000198888",3434.59640300931,2.30505255522364,0.456046519698775,5.05442417748558,4.31691213800742e-07,2.82923780121717e-05,"NADH dehydrogenase, subunit 1 (complex I)","protein_coding"
"96","ENSG00000198899",1335.36074834899,2.92012066201547,0.441408407983202,6.61546225491608,3.70392487759346e-11,1.05191466523654e-08,"ATP synthase F0 subunit 6","protein_coding"
"97","ENSG00000198920",18.4490045337033,3.17679957062998,1.03544178573974,3.06806197545949,0.00215451929789265,0.0257183949814997,"KIAA0753","protein_coding"
"98","ENSG00000198938",1381.43727191996,2.29304566767619,0.408011299706019,5.62005432037882,1.9089742855301e-08,2.03305761408956e-06,"cytochrome c oxidase III","protein_coding"
"99","ENSG00000199568",256.240258534112,2.46684021917675,0.58141796564691,4.24280012818669,2.20748026593961e-05,0.000693372603347666,"RNA, U5A small nuclear 1","snRNA"
"100","ENSG00000200156",138.872491133322,2.54152706910887,0.50733968232252,5.00951760263295,5.45666359983995e-07,3.4170953685013e-05,"RNA, U5B small nuclear 1","snRNA"
"101","ENSG00000200816",43.5753488417225,3.80729337604329,0.757691360339165,5.02486048453691,5.0379864596305e-07,3.23952034989071e-05,"small nucleolar RNA, H/ACA box 38","snoRNA"
"102","ENSG00000200959",23.3442684496277,3.6902864799478,0.871348430416553,4.23514446245532,2.28404820834442e-05,0.000709172636848525,"small nucleolar RNA, H/ACA box 74A","snoRNA"
"103","ENSG00000201302",53.378874534164,2.28444716125357,0.615327130835809,3.71257343740161,0.000205162503878145,0.00418678930069891,"small nucleolar RNA, H/ACA box 65","snoRNA"
"104","ENSG00000201998",44.6944728803086,3.34019813791609,0.749716477135515,4.45528174954642,8.37830905189638e-06,0.000303758268604924,"small nucleolar RNA, H/ACA box 23","snoRNA"
"105","ENSG00000202031",182.371844979436,2.17596031128913,0.627911145924715,3.46539526398218,0.000529452705624095,0.00869578226875621,"small nucleolar RNA, C/D box 38A","snoRNA"
"106","ENSG00000202314",112.097062770953,2.91427762224793,0.552858150595362,5.27129358427583,1.35465580002456e-07,1.09920642059136e-05,"small nucleolar RNA, C/D box 6","snoRNA"
"107","ENSG00000202400",74.0388515440104,3.7136772480835,0.623315098084303,5.95794528240551,2.55429003815009e-09,3.55306957143491e-07,"small nucleolar RNA, C/D box 82","snoRNA"
"108","ENSG00000204978",15.330784315195,7.81027812699486,1.53060884823516,5.10272636670065,3.34794913959624e-07,2.35253828200907e-05,"glutamate rich 4","protein_coding"
"109","ENSG00000206885",113.699731604252,4.22630346503993,1.44850609284533,2.91769809316998,0.00352625586428501,0.0347326011141136,"small nucleolar RNA, H/ACA box 75","snoRNA"
"110","ENSG00000209042",96.360907298556,3.96406685911773,0.61365952491644,6.45971698990171,1.04898972719575e-10,2.16664060017159e-08,"small nucleolar RNA, C/D box 12C","snoRNA"
"111","ENSG00000209082",404.68014265433,4.59474471444962,1.30797553376459,3.51286747789931,0.000443298520785278,0.00760351806758225,NA,"Mt_tRNA"
"112","ENSG00000210077",341.667444442037,4.75179107144548,1.5891104835072,2.9902207057109,0.00278775939099512,0.0303673889579201,NA,"Mt_tRNA"
"113","ENSG00000210082",65509.7823529013,2.5853622928548,0.398354024005517,6.49011215415511,8.5772498736385e-11,1.94875117129067e-08,"l-rRNA","Mt_rRNA"
"114","ENSG00000210112",460.705587270691,3.59552518216674,0.553428843896199,6.4968156644201,8.20378786426450e-11,1.92817303733886e-08,NA,"Mt_tRNA"
"115","ENSG00000210117",28.8608600189335,3.2276286883352,0.800005516257925,4.03450804118531,5.47168163868679e-05,0.00143996069688375,NA,"Mt_tRNA"
"116","ENSG00000210127",51.9231900598975,4.2986603737645,0.763714438779968,5.62862263103418,1.81654332053488e-08,1.96532686869298e-06,NA,"Mt_tRNA"
"117","ENSG00000210135",34.7131125861158,3.3038357196552,0.766331619724526,4.31123502491367,1.62345237129089e-05,0.00053456286776419,NA,"Mt_tRNA"
"118","ENSG00000210140",17.5305286166876,3.05414814608644,0.960189077742076,3.18077784561807,0.00146880216392008,0.0190692486652938,NA,"Mt_tRNA"
"119","ENSG00000210154",29.1004259590204,4.08347714179629,0.896786272120519,4.55345634600383,5.27716262334246e-06,0.000202073822700574,NA,"Mt_tRNA"
"120","ENSG00000210156",53.2103612381092,3.37619880583053,0.703855532635239,4.79672127203437,1.61283778172511e-06,7.96058185240123e-05,NA,"Mt_tRNA"
"121","ENSG00000210174",31.5895506950753,5.10704452734714,0.914286186256121,5.58582706828351,2.32590597090068e-08,2.42737661858523e-06,NA,"Mt_tRNA"
"122","ENSG00000210184",173.829554600287,3.0006444946324,0.622665731432841,4.81902944574691,1.44258264000343e-06,7.23379972408773e-05,NA,"Mt_tRNA"
"123","ENSG00000210191",34.7742552140923,3.97417778388869,0.82156510292812,4.83732545324092,1.31597859053949e-06,6.84710692604364e-05,NA,"Mt_tRNA"
"124","ENSG00000210194",1308.13407358157,5.33796538016364,1.92800834743251,2.76864225576206,0.00562904057831843,0.0478398261618684,NA,"Mt_tRNA"
"125","ENSG00000210195",72.9067746486929,3.55594022437457,0.649141260736765,5.47791434539014,4.30368358572432e-08,3.91118764270627e-06,NA,"Mt_tRNA"
"126","ENSG00000210196",165.606870273285,5.11307326984356,1.78304105134534,2.8676138813437,0.00413579931196595,0.039316050363124,NA,"Mt_tRNA"
"127","ENSG00000212163",17.3427252657029,3.20191677984248,0.997388737898373,3.21029971382004,0.00132596637616849,0.0177559662474743,"small nucleolar RNA, C/D box 91A","snoRNA"
"128","ENSG00000212534",40.2752013080757,2.19769249672648,0.752920537398988,2.91889035769771,0.00351279753433227,0.0346501128712138,"small nucleolar RNA, C/D box 70","snoRNA"
"129","ENSG00000212907",650.140752721217,3.62333927779763,0.478039064645254,7.57958825077708,3.46653339056249e-14,2.36278915900739e-11,"NADH dehydrogenase, subunit 4L (complex I)","protein_coding"
"130","ENSG00000213376",19.4990620783126,8.15725206210061,1.47173473027887,5.54261029129547,2.97995586712244e-08,2.90162559861522e-06,NA,"processed_pseudogene"
"131","ENSG00000214595",28.258544660891,2.60412823521319,0.765517454155969,3.40178819055721,0.000669465017816534,0.0103706217305398,"echinoderm microtubule associated protein like 6","protein_coding"
"132","ENSG00000214872",27.4376905204006,6.94080873597039,2.50943426388634,2.76588585557177,0.00567684013698981,0.0480843445128532,"smoothelin like 1","protein_coding"
"133","ENSG00000221514",17.8818237923469,5.03670847257236,1.13324235097404,4.4445113335583,8.80918644494772e-06,0.000314363428318134,NA,"snoRNA"
"134","ENSG00000221539",73.0063667981038,2.04187225369555,0.570660744527868,3.57808430538687,0.000346121818638567,0.00626144235466179,"small nucleolar RNA, C/D box 99","snoRNA"
"135","ENSG00000222345",23.6323731671562,2.7147672079364,0.838260351264378,3.23857284176882,0.00120129341026438,0.016376031768724,NA,"snoRNA"
"136","ENSG00000222365",62.0323615166044,2.24027122251622,0.673233294443232,3.3276298736368,0.000875881518306836,0.0128663974758177,"small nucleolar RNA, C/D box 12B","snoRNA"
"137","ENSG00000222426",24.5151251491828,8.48751992316651,1.42621549249512,5.95107819809044,2.66381765877906e-09,3.56011395338002e-07,NA,"snRNA"
"138","ENSG00000224078",59.9922665896338,3.87670423405099,0.696559143452522,5.56550620358805,2.61392483319376e-08,2.62007524456598e-06,NA,"processed_transcript"
"139","ENSG00000224078",59.9922665896338,3.87670423405099,0.696559143452522,5.56550620358805,2.61392483319376e-08,2.62007524456598e-06,NA,"processed_transcript"
"140","ENSG00000225630",223.721161478306,3.93050303706556,0.534654770254424,7.35147847871098,1.96026332392457e-13,1.21465043780635e-10,NA,"unprocessed_pseudogene"
"141","ENSG00000228253",478.299245787801,2.88426324838688,0.445580050807486,6.47305291868426,9.60422967227753e-11,2.04570092019511e-08,"ATP synthase F0 subunit 8","protein_coding"
"142","ENSG00000230189",15.4498033179264,4.90144371799326,1.20576214796771,4.06501707343738,4.8028945926879e-05,0.00130590434225732,NA,"transcribed_unprocessed_pseudogene"
"143","ENSG00000230927",18.6512767705598,8.0931216117287,1.48170194305333,5.46204427258244,4.70682651743923e-08,4.22128020300866e-06,"transmembrane BAX inhibitor motif containing 7, pseudogene","unitary_pseudogene"
"144","ENSG00000233705",14.4123502317962,7.72115201161593,1.54782404955638,4.98839129281449,6.08841550645653e-07,3.67244602584139e-05,"SLC26A4 antisense RNA 1","antisense"
"145","ENSG00000233903",29.276381280974,5.55523840694179,1.00038692871525,5.5530897570564,2.8066386737963e-08,2.77247089863704e-06,NA,"lincRNA"
"146","ENSG00000235408",64.6404747193132,3.0370305310823,0.650919579140475,4.66575384795252,3.0748762458912e-06,0.000133492716509518,"small nucleolar RNA, H/ACA box 71B","snoRNA"
"147","ENSG00000235649",23.7863588441615,5.5603682131627,1.0873498274799,5.11368841254125,3.15928328259094e-07,2.26670261622525e-05,NA,"unprocessed_pseudogene"
"148","ENSG00000238363",13.0906898332795,4.19513782065297,1.17490264960154,3.57062589149469,0.000356129238586675,0.00637106795329862,"small nucleolar RNA, H/ACA box 13","snoRNA"
"149","ENSG00000238578",21.475699861778,3.17213385869677,0.880569190387497,3.60236752923512,0.000315332103968683,0.00582685060847598,"small nucleolar RNA, C/D box 4A","snoRNA"
"150","ENSG00000238886",17.6901081838153,3.46637332185452,1.02213928043615,3.39129254515627,0.000695638048035063,0.0106832721289822,"small nucleolar RNA, C/D box 121A","snoRNA"
"151","ENSG00000251705",20.2729741908144,2.6967284046344,0.912261993002369,2.95608983528857,0.00311566327561643,0.0324219250177124,NA,"rRNA"
"152","ENSG00000251733",20.5219201697756,3.51245722024996,0.946002765687197,3.71294603742351,0.000204860579348786,0.00418678930069891,"small Cajal body-specific RNA 8","scaRNA"
