,Gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,GENENAME,Biotype
1,ENSG00000007080,47.28884076,3.069082689,0.830057804,3.697432487,0.000217791,0.005143402,coiled-coil domain containing 124,protein_coding
2,ENSG00000013306,154.6028644,2.205988798,0.468724458,4.706365883,2.52E-06,0.000196736,solute carrier family 25 member 39,protein_coding
3,ENSG00000032444,60.18395045,2.871604841,0.759914714,3.778851479,0.000157553,0.004085167,patatin like phospholipase domain containing 6,protein_coding
4,ENSG00000051523,62.54200571,2.267409922,0.58198657,3.895983241,9.78E-05,0.002926666,cytochrome b-245 alpha chain,protein_coding
5,ENSG00000054148,20.7804843,4.38136698,1.053892645,4.157318112,3.22E-05,0.001302631,phosphohistidine phosphatase 1,protein_coding
6,ENSG00000065029,26.57833114,2.283499729,0.761249164,2.999674529,0.002702682,0.028764968,zinc finger protein 76,protein_coding
7,ENSG00000071894,58.3992623,3.64787946,0.798135607,4.570500838,4.87E-06,0.000330685,cleavage and polyadenylation specific factor 1,protein_coding
8,ENSG00000075624,4218.662021,2.058082704,0.358393003,5.742530374,9.33E-09,2.26E-06,actin beta,protein_coding
9,ENSG00000076604,23.92083733,2.370817878,0.843941827,2.809219548,0.004966177,0.042022588,TNF receptor associated factor 4,protein_coding
10,ENSG00000079435,24.28663961,3.169743961,0.950729587,3.334012115,0.000856029,0.013357114,"lipase E, hormone sensitive type",protein_coding
11,ENSG00000083845,161.8809589,2.332930858,0.566286102,4.119703535,3.79E-05,0.00147672,ribosomal protein S5,protein_coding
12,ENSG00000090674,18.90374103,3.778396082,1.034151171,3.653620658,0.000258568,0.0057218,mucolipin 1,protein_coding
13,ENSG00000092929,41.98427436,2.382066591,0.680058947,3.502735463,0.000460507,0.008785822,unc-13 homolog D,protein_coding
14,ENSG00000093010,47.37547279,3.455140212,0.828352775,4.171097527,3.03E-05,0.001255357,catechol-O-methyltransferase,protein_coding
15,ENSG00000097021,78.07165881,2.050721718,0.533291984,3.845401357,0.000120355,0.003414495,acyl-CoA thioesterase 7,protein_coding
16,ENSG00000099817,80.97156907,2.834614019,0.530430113,5.343991506,9.09E-08,1.24E-05,RNA polymerase II subunit E,protein_coding
17,ENSG00000100280,95.06877654,2.100689518,0.519283853,4.04535883,5.22E-05,0.00185569,adaptor related protein complex 1 beta 1 subunit,protein_coding
18,ENSG00000101220,20.68793511,2.640082212,0.888577146,2.971134496,0.002967018,0.030308458,chromosome 20 open reading frame 27,protein_coding
19,ENSG00000102030,30.79691777,4.129457965,0.901825781,4.578997466,4.67E-06,0.000327776,"N(alpha)-acetyltransferase 10, NatA catalytic subunit",protein_coding
20,ENSG00000102103,48.52358436,2.449849427,0.708281462,3.458864249,0.000542458,0.009957983,polyglutamine binding protein 1,protein_coding
21,ENSG00000102312,26.34675278,3.288411077,0.919361286,3.576843107,0.000347769,0.007083458,porcupine O-acyltransferase,protein_coding
22,ENSG00000103148,40.30193959,3.409489744,0.834374916,4.086280252,4.38E-05,0.001620495,"NPR3 like, GATOR1 complex subunit",protein_coding
23,ENSG00000103266,42.18410022,2.915033583,0.661355808,4.407663086,1.04E-05,0.000596765,STIP1 homology and U-box containing protein 1,protein_coding
24,ENSG00000104960,15.98353237,3.351915989,1.072229888,3.126116914,0.001771311,0.021645548,prostate tumor overexpressed 1,protein_coding
25,ENSG00000105370,13.48472791,3.517906937,1.163571298,3.023370328,0.002499761,0.027494644,lens intrinsic membrane protein 2,protein_coding
26,ENSG00000105409,55.15928951,3.954114231,0.826745739,4.782745217,1.73E-06,0.000146657,ATPase Na+/K+ transporting subunit alpha 3,protein_coding
27,ENSG00000105429,25.83544804,2.636790834,0.813343091,3.241917051,0.001187286,0.016874631,multiple EGF like domains 8,protein_coding
28,ENSG00000105552,20.50051724,4.673381816,1.114312182,4.193960983,2.74E-05,0.001191694,branched chain amino acid transaminase 2,protein_coding
29,ENSG00000105640,384.4224851,2.267877849,0.417707347,5.42934633,5.66E-08,8.52E-06,ribosomal protein L18a,protein_coding
30,ENSG00000105701,81.26802732,2.731014952,0.642922805,4.247811604,2.16E-05,0.000992769,FK506 binding protein 8,protein_coding
31,ENSG00000105726,78.99831154,3.143471669,0.656298412,4.789698727,1.67E-06,0.000143091,ATPase 13A1,protein_coding
32,ENSG00000106348,21.82004345,3.413612943,0.894477317,3.816321419,0.000135456,0.003698796,inosine monophosphate dehydrogenase 1,protein_coding
33,ENSG00000107223,101.6943573,3.24235577,0.567390202,5.714507858,1.10E-08,2.49E-06,endothelial differentiation related factor 1,protein_coding
34,ENSG00000108107,395.2180799,2.13987498,0.411325682,5.202386024,1.97E-07,2.36E-05,ribosomal protein L28,protein_coding
35,ENSG00000109501,23.35163153,2.782947857,1.007477681,2.762292316,0.005739706,0.046224475,wolframin ER transmembrane glycoprotein,protein_coding
36,ENSG00000110719,16.85218953,3.268901943,1.110427356,2.943823318,0.00324185,0.032281546,"T-cell immune regulator 1, ATPase H+ transporting V0 subunit a3",protein_coding
37,ENSG00000115268,204.6229339,3.731724787,0.639119241,5.838855329,5.26E-09,1.35E-06,ribosomal protein S15,protein_coding
38,ENSG00000116017,23.59777173,2.677417177,0.947668479,2.825267734,0.004724112,0.040976625,AT-rich interaction domain 3A,protein_coding
39,ENSG00000125912,53.27530091,2.506775207,0.691964733,3.622692149,0.000291553,0.006274847,nicalin,protein_coding
40,ENSG00000125995,29.37757505,3.174821341,0.766872085,4.139962066,3.47E-05,0.001385167,reactive oxygen species modulator 1,protein_coding
41,ENSG00000126432,50.57849174,2.219483729,0.651132868,3.408649506,0.000652853,0.011076951,peroxiredoxin 5,protein_coding
42,ENSG00000127586,51.09632815,2.956586415,0.716373295,4.127158892,3.67E-05,0.00145214,chromosome transmission fidelity factor 18,protein_coding
43,ENSG00000130255,345.7682699,2.03255861,0.448301533,4.533909569,5.79E-06,0.000372019,ribosomal protein L36,protein_coding
44,ENSG00000130303,147.8106296,2.127516269,0.495655098,4.292332061,1.77E-05,0.000863091,bone marrow stromal cell antigen 2,protein_coding
45,ENSG00000130479,39.06147755,2.561462479,0.73886307,3.466762089,0.000526768,0.009731285,microtubule associated protein 1S,protein_coding
46,ENSG00000132182,275.5022046,2.431327863,0.483460297,5.029012469,4.93E-07,4.95E-05,nucleoporin 210,protein_coding
47,ENSG00000136942,324.6417938,2.819904656,0.429433837,6.56656373,5.15E-11,1.96E-08,ribosomal protein L35,protein_coding
48,ENSG00000145494,74.97343996,2.126871253,0.534374954,3.980110293,6.89E-05,0.002283239,NADH:ubiquinone oxidoreductase subunit S6,protein_coding
49,ENSG00000148334,22.71328774,2.879664662,0.988914215,2.911945869,0.003591849,0.034226363,prostaglandin E synthase 2,protein_coding
50,ENSG00000152082,29.49637826,2.314649985,0.771237006,3.001217481,0.002689024,0.028654506,mitotic spindle organizing protein 2B,protein_coding
51,ENSG00000160211,252.8219788,2.021816421,0.429562242,4.706690259,2.52E-06,0.000196736,glucose-6-phosphate dehydrogenase,protein_coding
